,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,like
0,Tiësto,BLUE (Remixes),BLUE - Mike Williams Remix,10WrTQMhZu2gocF8UB6obr,0.644,0.9209999999999999,11,-3.201,1,0.045,0.000371,0.355,0.5770000000000001,128.015,191733,4,True
1,RICCI,Whistle,Whistle,0s7TF4xqdNcXn8U8cWXrhC,0.7120000000000001,0.934,2,-4.769,1,0.0595,6.22e-06,0.0542,0.53,120.024,196030,4,True
2,Harris & Ford,"Freitag, Samstag","Freitag, Samstag",35WEFAhw47XLju1gu40cjT,0.638,0.961,10,-3.8280000000000003,0,0.121,0.0055899999999999995,0.0663,0.353,138.034,156356,4,True
3,ILLENIUM,Awake,Feel Good,0e0UxWGgjXoYAYUFhJgwji,0.625,0.7070000000000001,2,-4.761,1,0.0337,0.0,0.213,0.479,138.064,248156,4,True
4,TJR,Bounce Generation,Bounce Generation - Radio Edit,3l3wjXneWieRL0yKd4Tihf,0.687,0.998,2,-1.304,1,0.29100000000000004,0.0431,0.32899999999999996,0.129,128.007,152813,4,True
5,Rush,Moving Pictures (2011 Remaster),Tom Sawyer,3QZ7uX97s82HFYSmQUAN1D,0.536,0.9009999999999999,9,-7.211,1,0.0374,0.0186,0.06,0.6659999999999999,87.559,276880,4,False
6,Tina Turner,Tina!,River Deep - Mountain High,19jo0UT2vqD4pNVfIqTy4R,0.621,0.972,8,-3.7910000000000004,1,0.0724,0.000585,0.195,0.866,155.113,244160,4,False
7,Drake,Dark Lane Demo Tapes,Toosie Slide,466cKvZn1j45IpxDdYZqdA,0.83,0.49,1,-8.82,0,0.209,3.04e-06,0.113,0.845,81.604,247059,4,True
8,Axel Rudi Pell,Wings of the Storm,Wings of the Storm,0oPS4seBoSMmz0M1OnL0l1,0.49200000000000005,0.836,8,-6.922999999999999,0,0.0356,0.00043,0.128,0.384,82.07600000000001,347720,4,False
9,Shoreline Mafia,OTXmas,Molly Water (feat. Fenix Flexin & OhGeesy),4rd0Bdyo4PIN5KYef0m9uD,0.8170000000000001,0.6459999999999999,5,-7.871,1,0.305,0.0,0.0948,0.6659999999999999,98.031,176453,4,True
10,Sean Paul,When It Comes To You (Remixes),When It Comes To You - Benny Benassi & BB Team Remix,2k4c9ZAlIYHyXiJ4i20FO7,0.789,0.893,10,-4.364,0,0.168,0.0,0.221,0.41,121.956,144073,4,True
11,Future,DS2 (Deluxe),Thought It Was a Drought,5ihDGnhQgMA0F0tk9fNLlA,0.861,0.44799999999999995,2,-8.256,1,0.111,0.000408,0.0902,0.0487,125.022,265213,4,True
12,Keith Urban,One Too Many,One Too Many,5NUXE8W12lWcUXgJRCjeEw,0.6970000000000001,0.535,4,-6.504,1,0.068,0.0,0.569,0.594,82.959,203893,4,False
13,Bob Dylan,The Freewheelin' Bob Dylan,Blowin' in the Wind,18GiV1BaXzPVYpp9rmOg0E,0.38,0.0993,2,-20.566999999999997,1,0.0509,2.3199999999999998e-05,0.0605,0.44,174.87400000000002,165427,4,False
14,MEDUZA,Piece Of Your Heart,Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,0.677,0.7440000000000001,10,-6.806,0,0.0295,0.00016,0.07400000000000001,0.631,124.08,152913,4,True
15,Muddy Waters,"Muddy ""Mississippi"" Waters Live (Legacy Edition)",Champagne & Reefer - Live,2PatEYrrVBNx5LPjTL2ruP,0.33299999999999996,0.603,0,-8.339,1,0.17600000000000002,0.0268,0.982,0.525,207.8,292373,3,False
16,The All-American Rejects,When The World Comes Down,Gives You Hell,6ihL9TjfRjadfEePzXXyVF,0.718,0.691,4,-6.44,1,0.0387,0.0,0.0627,0.552,100.008,213107,4,False
17,Lynyrd Skynyrd,(Pronounced 'Leh-'Nérd 'Skin-'Nérd) [Expanded Edition],Free Bird,4JNi40t7xR5bO3PWxRkiPN,0.27899999999999997,0.852,7,-7.837999999999999,1,0.0511,0.076,0.0624,0.43799999999999994,117.41799999999999,558933,4,False
18,Cheap Trick,In Color,I Want You to Want Me,1JkZg3eMQTmTn93E8Yd3UL,0.8059999999999999,0.462,2,-12.777999999999999,1,0.0298,0.0134,0.15,0.736,92.726,191227,4,False
